institution;indicator;taux observé 2018-2022;taux attendu 2018-2022;SMR 2018-2022;nombre de cas 2018-2022;taux observé 2023;taux attendu 2023;SMR 2023;nombre de cas 2023
Les Hôpitaux Universitaires de Genève HUG;A.3.7.M Cathétérisme diagnostique des vaisseaux coronaires sans DP infarctus du myocarde sans autre OP (âge >19), mortalité;2.2%;1.4%;1.5;1'926;1.1%;1.7%;0.7;354
Les Hôpitaux Universitaires de Genève HUG;A.3.5.M Cathétérisme thérapeutique des vaisseaux coronaires sans DP infarctus du myocarde sans OP du cœur (âge >19), mortalité;4.2%;1.2%;3.4;731;5.0%;1.0%;4.8;121
Les Hôpitaux Universitaires de Genève HUG;A.3.5.P Cathétérisme thérapeutique des vaisseaux coronaires sans DP infarctus du myocarde sans OP du cœur (âge >19), pourcentage;24.4%;47.3%;*;731;21.8%;52.8%;*;121
Les Hôpitaux Universitaires de Genève HUG;A.3.13.M Cathétérisme thérapeutique des vaisseaux coronaires sans DP infarctus du myocarde ou OP du cœur (âge >19), transféré d'un autre hôpital, mortalité;*;*;*;6;*;*;*;0
Les Hôpitaux Universitaires de Genève HUG;A.3.14.M Cathétérisme thérapeutique des vaisseaux coronaires sans DP infarctus du myocarde sans OP du cœur (âge >19), réanimation avant admission, mortalité;*;*;*;8;*;*;*;5
Les Hôpitaux Universitaires de Genève HUG;A.3.8.M Cathétérisme thérapeutique des vaisseaux coronaires sans DP infarctus du myocarde sans autre OP (âge >19), mortalité;2.8%;0.8%;3.6;639;1.9%;0.6%;3.5;103
Les Hôpitaux Universitaires de Genève HUG;A.3.6.F Cas avec cathétérisme cardiaque chez l'enfant et l'adolescent (âge <20);*;*;*;167;*;*;*;57
Les Hôpitaux Universitaires de Genève HUG;A.4 Troubles du rythme cardiaque; ; ; ; ; ; ; ; 
Les Hôpitaux Universitaires de Genève HUG;A.4.1.F DP troubles du rythme cardiaque;*;*;*;2'907;*;*;*;615
Les Hôpitaux Universitaires de Genève HUG;A.5 Traitement par pacemaker ou défibrillateur implantable; ; ; ; ; ; ; ; 
Les Hôpitaux Universitaires de Genève HUG;A.5.1.F Traitement par pacemaker (implantation et changement, défibrillateur inclus);*;*;*;1'119;*;*;*;264
Les Hôpitaux Universitaires de Genève HUG;A.5.2.F Implantation et changement de défibrillateur;*;*;*;245;*;*;*;48
Les Hôpitaux Universitaires de Genève HUG;A.6 Traitement par ablation; ; ; ; ; ; ; ; 
Les Hôpitaux Universitaires de Genève HUG;A.6.1.F Ablation par cathéter;*;*;*;1'124;*;*;*;242
Les Hôpitaux Universitaires de Genève HUG;A.6.3.M Ablation de l'oreillette en cas de fibrillation auriculaire / de flutter auriculaire, mortalité;0.0%;0.1%;0.0;541;0.0%;0.0%;0.0;118
Les Hôpitaux Universitaires de Genève HUG;A.6.4.P Complications péricardiques lors de l’ablation de l'oreillette en cas de fibrillation auriculaire / de flutter auriculaire, pourcentage;*;*;*;7;0.0%;0.2%;*;0
Les Hôpitaux Universitaires de Genève HUG;A.6.2.F Ablation chirurgicale;*;*;*;123;*;*;*;45
Les Hôpitaux Universitaires de Genève HUG;A.7 Opérations du cœur; ; ; ; ; ; ; ; 
Les Hôpitaux Universitaires de Genève HUG;A.7.1.F Total des OP du cœur;*;*;*;2'206;*;*;*;606
Les Hôpitaux Universitaires de Genève HUG;A.7.2.F OP des valves cardiaques;*;*;*;1'188;*;*;*;369
Les Hôpitaux Universitaires de Genève HUG;A.7.3.F OP des vaisseaux coronaires;*;*;*;578;*;*;*;165
Les Hôpitaux Universitaires de Genève HUG;A.7.4.F Autres OP du cœur;*;*;*;961;*;*;*;278
Les Hôpitaux Universitaires de Genève HUG;A.7.5.F OP combinée du cœur;*;*;*;486;*;*;*;192
Les Hôpitaux Universitaires de Genève HUG;A.7.6.F OP du cœur chez l'enfant et l'adolescent (âge <20);*;*;*;715;*;*;*;204
Les Hôpitaux Universitaires de Genève HUG;A.7.24.F Total des remplacements de valve aortique à cœur ouvert (âge >19);*;*;*;223;*;*;*;67
Les Hôpitaux Universitaires de Genève HUG;A.7.7.M Remplacement isolé de valve aortique à cœur ouvert sans autre OP du cœur (âge >19), mortalité;1.2%;1.5%;0.8;81;0.0%;0.2%;0.0;16
Les Hôpitaux Universitaires de Genève HUG;A.7.19.M Remplacement isolé de valve aortique à cœur ouvert sans autre OP du cœur avec DP endocardite (âge >19), mortalité;*;*;*;8;*;*;*;0
Les Hôpitaux Universitaires de Genève HUG;A.7.20.M Remplacement isolé de valve aortique à cœur ouvert sans autre OP du cœur sans DP endocardite (âge >19), mortalité;1.4%;1.5%;0.9;73;0.0%;0.2%;0.0;16
Les Hôpitaux Universitaires de Genève HUG;A.7.25.M Remplacement isolé de valve aortique à cœur ouvert sans systèmes d'assistance cardiaque sans autre OP du cœur (âge >19), mortalité;1.2%;1.1%;1.1;80;0.0%;0.2%;0.0;16
Les Hôpitaux Universitaires de Genève HUG;A.7.26.M Remplacement de valve aortique à cœur ouvert avec remplacement de valve mitrale (âge >19), mortalité;*;*;*;9;*;*;*;2
Les Hôpitaux Universitaires de Genève HUG;A.7.27.M Remplacement de valve aortique à cœur ouvert avec autre OP du cœur (âge >19), mortalité;6.8%;5.0%;1.3;133;2.0%;3.7%;0.6;49
Les Hôpitaux Universitaires de Genève HUG;A.7.8.M Implantation mini­invasive de valve aortique, mortalité;2.1%;2.1%;1.0;341;0.0%;1.6%;0.0;83
Les Hôpitaux Universitaires de Genève HUG;A.7.9.M Implantation mini­invasive de valve aortique par voie endovasculaire, mortalité;2.1%;2.1%;1.0;339;0.0%;1.6%;0.0;82
Les Hôpitaux Universitaires de Genève HUG;A.7.10.M Implantation mini­invasive de valve aortique par voie transapicale, mortalité;*;*;*;2;*;*;*;1
Les Hôpitaux Universitaires de Genève HUG;A.7.23.M Interventions endovasculaire/transapicale sur la valve mitrale, mortalité;6.5%;2.3%;2.8;92;0.0%;1.1%;0.0;23
Les Hôpitaux Universitaires de Genève HUG;A.7.11.M OP des vaisseaux coronaires uniquement, en cas de DP infarctus du myocarde (âge >19), mortalité;2.8%;2.3%;1.2;142;0.0%;2.5%;0.0;41
Les Hôpitaux Universitaires de Genève HUG;A.7.28.M OP des vaisseaux coronaires uniquement, en cas de DP infarctus du myocarde sans systèmes d'assistance cardiaque (âge >19), mortalité;1.6%;1.1%;1.4;125;0.0%;1.8%;0.0;38
Les Hôpitaux Universitaires de Genève HUG;A.7.12.M OP des vaisseaux coronaires uniquement, sans DP infarctus du myocarde (âge >19), mortalité;2.8%;0.9%;3.0;283;0.0%;0.8%;0.0;61
Les Hôpitaux Universitaires de Genève HUG;A.7.13.M OP des vaisseaux coronaires uniquement, sans DP infarctus du myocarde, âge 20-49, mortalité;0.0%;0.5%;0.0;20;*;*;*;7
Les Hôpitaux Universitaires de Genève HUG;A.7.14.M OP des vaisseaux coronaires uniquement, sans DP infarctus du myocarde, âge 50-59, mortalité;0.0%;0.3%;0.0;74;0.0%;0.0%;*;13
Les Hôpitaux Universitaires de Genève HUG;A.7.15.M OP des vaisseaux coronaires uniquement, sans DP infarctus du myocarde, âge 60-69, mortalité;1.9%;0.9%;2.1;108;0.0%;0.4%;0.0;21
Les Hôpitaux Universitaires de Genève HUG;A.7.16.M OP des vaisseaux coronaires uniquement, sans DP infarctus du myocarde, âge 70-79, mortalité;7.4%;1.4%;5.2;68;0.0%;1.3%;0.0;16
Les Hôpitaux Universitaires de Genève HUG;A.7.17.M OP des vaisseaux coronaires uniquement, sans DP infarctus du myocarde, âge >79, mortalité;7.7%;3.8%;2.0;13;*;*;*;4
Les Hôpitaux Universitaires de Genève HUG;A.7.29.M OP des vaisseaux coronaires avec autre OP du cœur (âge >19), mortalité;8.1%;5.8%;1.4;135;5.1%;5.8%;0.9;59
Les Hôpitaux Universitaires de Genève HUG;A.7.18.P Cas de respiration artificielle >24 h en cas d'OP des vaisseaux coronaires uniquement, sans DP infarctus du myocarde (âge >19), pourcentage;11.3%;7.3%;*;32;*;*;*;6
Les Hôpitaux Universitaires de Genève HUG;A.7.21.P OP des carotides en cas de remplacement isolé de valve aortique à cœur ouvert sans autre OP du cœur (âge >19), pourcentage;0.0%;0.2%;*;0;0.0%;0.0%;*;0
Les Hôpitaux Universitaires de Genève HUG;A.7.22.P OP des carotides en cas d'OP des vaisseaux coronaires uniquement, sans DP infarctus du myocarde (âge >19), pourcentage;*;*;*;2;0.0%;0.6%;*;0
Les Hôpitaux Universitaires de Genève HUG;B Maladies du système nerveux, accident vasculaire cérébral (attaque cérébrale); ; ; ; ; ; ; ; 
Les Hôpitaux Universitaires de Genève HUG;B.1 Accident vasculaire cérébral (attaque cérébrale); ; ; ; ; ; ; ; 
Les Hôpitaux Universitaires de Genève HUG;B.1.1.M DP accident vasculaire cérébral, toutes les formes (âge >19), mortalité;8.0%;7.9%;1.0;6'360;6.7%;7.7%;0.9;1'247
Les Hôpitaux Universitaires de Genève HUG;B.1.2.M DP accident vasculaire cérébral, toutes les formes, âge 20-44, mortalité;3.0%;2.7%;1.1;302;3.8%;2.1%;1.8;78
Les Hôpitaux Universitaires de Genève HUG;B.1.3.M DP accident vasculaire cérébral, toutes les formes, âge 45-64, mortalité;3.9%;3.5%;1.1;1'394;1.5%;3.3%;0.4;269
Les Hôpitaux Universitaires de Genève HUG;B.1.4.M DP accident vasculaire cérébral, toutes les formes, âge 65-84, mortalité;7.7%;7.0%;1.1;3'087;6.7%;7.2%;0.9;631
Les Hôpitaux Universitaires de Genève HUG;B.1.5.M DP accident vasculaire cérébral, toutes les formes, âge >84, mortalité;13.0%;14.7%;0.9;1'577;12.6%;15.1%;0.8;269
Les Hôpitaux Universitaires de Genève HUG;B.1.7.M Infarctus cérébral (CIM­10 I63, âge >19), mortalité;5.9%;5.5%;1.1;5'264;4.6%;5.3%;0.9;1'029
Les Hôpitaux Universitaires de Genève HUG;B.1.8.M Infarctus cérébral (CIM­10 I63, âge >19), admissions directes, mortalité;5.9%;5.4%;1.1;5'184;4.6%;5.1%;0.9;1'009
Les Hôpitaux Universitaires de Genève HUG;B.1.13.M Infarctus cérébral (CIM­10 I63, âge >19), transféré d'un autre hôpital, mortalité;5.0%;5.2%;1.0;80;5.0%;5.3%;0.9;20
Les Hôpitaux Universitaires de Genève HUG;B.1.16.P Infarctus cérébral (CIM­10 I63, âge >19) avec rééducation précoce, admissions directes, pourcentage;4.8%;3.0%;*;250;4.2%;3.8%;*;42
Les Hôpitaux Universitaires de Genève HUG;B.1.17.P Infarctus cérébral (CIM­10 I63, âge >19) avec rééducation précoce, transféré d'un autre hôpital, pourcentage;*;*;*;3;*;*;*;1
Les Hôpitaux Universitaires de Genève HUG;B.1.9.M Infarctus cérébral (CIM­10 I63, âge >19) avec thrombolyse systémique, mortalité;7.4%;6.9%;1.1;799;5.1%;5.4%;0.9;175
Les Hôpitaux Universitaires de Genève HUG;B.1.9.P Infarctus cérébral (CIM­10 I63, âge >19) avec thrombolyse systémique, pourcentage;15.2%;13.1%;*;799;17.0%;15.6%;*;175
Les Hôpitaux Universitaires de Genève HUG;B.1.18.M Infarctus cérébral (CIM­10 I63, âge >19) avec thrombectomie intracrânienne, mortalité;7.6%;10.7%;0.7;590;10.1%;10.9%;0.9;109
Les Hôpitaux Universitaires de Genève HUG;B.1.18.P Infarctus cérébral (CIM­10 I63, âge >19) avec thrombectomie intracrânienne, pourcentage;11.2%;7.8%;*;590;10.6%;8.5%;*;109
Les Hôpitaux Universitaires de Genève HUG;B.1.21.M Infarctus cérébral (CIM­10 I63, âge 20-69) avec thrombectomie intracrânienne, mortalité;5.0%;5.8%;0.9;219;2.5%;5.8%;0.4;40
Les Hôpitaux Universitaires de Genève HUG;B.1.22.M Infarctus cérébral (CIM­10 I63, âge 70-79) avec thrombectomie intracrânienne, mortalité;7.5%;9.8%;0.8;159;3.0%;8.9%;0.3;33
Les Hôpitaux Universitaires de Genève HUG;B.1.23.M Infarctus cérébral (CIM­10 I63, âge 80-89) avec thrombectomie intracrânienne, mortalité;9.9%;15.6%;0.6;172;27.6%;18.5%;1.5;29
Les Hôpitaux Universitaires de Genève HUG;B.1.24.M Infarctus cérébral (CIM­10 I63, âge >90) avec thrombectomie intracrânienne, mortalité;12.5%;19.8%;0.6;40;*;*;*;7
Les Hôpitaux Universitaires de Genève HUG;B.1.14.M Infarctus cérébral (CIM­10 I63, âge >19) avec pneumonie, mortalité;27.0%;23.8%;1.1;408;16.7%;23.1%;0.7;72
Les Hôpitaux Universitaires de Genève HUG;B.1.14.P Infarctus cérébral (CIM­10 I63, âge >19) avec pneumonie, pourcentage;7.8%;6.6%;*;408;7.0%;6.2%;*;72
Les Hôpitaux Universitaires de Genève HUG;B.1.10.M Hémorragie intracérébrale (CIM­10 I61, âge >19), mortalité;20.7%;22.6%;0.9;748;18.7%;21.7%;0.9;166
Les Hôpitaux Universitaires de Genève HUG;B.1.11.M Hémorragie sous­arachnoïdienne (CIM­10 I60, âge >19), mortalité;12.1%;13.4%;0.9;348;7.8%;10.5%;0.7;51
Les Hôpitaux Universitaires de Genève HUG;B.1.12.M Accident vasculaire cérébral, sans précision (CIM­10 I64, âge >19), mortalité;*;*;*;0;*;*;*;1
Les Hôpitaux Universitaires de Genève HUG;B.1.12.P Accident vasculaire cérébral, sans précision (CIM­10 I64, âge >19), pourcentage;0.0%;3.7%;*;0;*;*;*;1
Les Hôpitaux Universitaires de Genève HUG;B.1.25.M AIT, mortalité;0.0%;0.2%;0.0;854;0.0%;0.2%;0.0;152
Les Hôpitaux Universitaires de Genève HUG;B.2 Traitement en unité cérébro­vasculaire; ; ; ; ; ; ; ; 
Les Hôpitaux Universitaires de Genève HUG;B.2.3.F Traitement complexe neurologique ou autre (unité cérébro­vasculaire);*;*;*;4'776;*;*;*;958
Les Hôpitaux Universitaires de Genève HUG;B.2.4.P Infarctus cérébral avec traitement complexe neurologique ou autre, pourcentage;64.3%;52.3%;*;3'386;69.2%;56.8%;*;712
Les Hôpitaux Universitaires de Genève HUG;B.2.2.P AIT avec traitement complexe neurologique ou autre, pourcentage;78.3%;45.9%;*;669;81.6%;54.8%;*;124
Les Hôpitaux Universitaires de Genève HUG;B.2.5.P DP infarctus cérébral ou AIT (âge >19) avec traitement complexe neurologique ou autre, admissions directes, pourcentage;66.2%;50.7%;*;3'987;70.7%;56.0%;*;821
Les Hôpitaux Universitaires de Genève HUG;B.2.6.P DP infarctus cérébral ou AIT (âge >19) avec traitement complexe neurologique ou autre, transféré d’un autre hôpital, pourcentage;70.8%;52.7%;*;68;75.0%;58.7%;*;15
Les Hôpitaux Universitaires de Genève HUG;B.2.7.F Traitement complexe neurologique ou autre (unité cérébro­vasculaire) en cas d’autre diagnostic ou âge <20;*;*;*;719;*;*;*;120
Les Hôpitaux Universitaires de Genève HUG;B.3 Tumeurs malignes de l'encéphale ou des méninges cérébrales; ; ; ; ; ; ; ; 
Les Hôpitaux Universitaires de Genève HUG;B.3.1.F DP tumeurs malignes de l'encéphale ou des méninges cérébrales;*;*;*;689;*;*;*;153
Les Hôpitaux Universitaires de Genève HUG;B.3.2.M OP du cerveau en cas de tumeurs malignes, mortalité;1.8%;1.3%;1.4;217;0.0%;2.5%;0.0;43
Les Hôpitaux Universitaires de Genève HUG;B.4 Epilepsie; ; ; ; ; ; ; ; 
Les Hôpitaux Universitaires de Genève HUG;B.4.1.F Traitements hospitaliers en cas de DP épilepsie (âge >19);*;*;*;1'486;*;*;*;296
Les Hôpitaux Universitaires de Genève HUG;B.4.2.F Traitements hospitaliers en cas de DP épilepsie (âge <20);*;*;*;320;*;*;*;70
Les Hôpitaux Universitaires de Genève HUG;B.5 Sclérose en plaques; ; ; ; ; ; ; ; 
Les Hôpitaux Universitaires de Genève HUG;B.5.1.F Traitements hospitaliers en cas de DP sclérose en plaques;*;*;*;222;*;*;*;51
Les Hôpitaux Universitaires de Genève HUG;C Médecine gériatrique; ; ; ; ; ; ; ; 
