institution;indicator;taux observé 2018-2022;taux attendu 2018-2022;SMR 2018-2022;nombre de cas 2018-2022;taux observé 2023;taux attendu 2023;SMR 2023;nombre de cas 2023
EOC Ente ospedaliero cantonale;A.3.4.M Catetere diagnostico dei vasi coronarici senza DP infarto miocardico senza OP al cuore (età >19), mortalità;2.0%;1.8%;1.1;2'177;2.9%;2.1%;1.4;408
EOC Ente ospedaliero cantonale;A.3.11.M Catetere diagnostico dei vasi coronarici senza DP infarto miocardico o OP al cuore (età >19), trasferito da un altro ospedale, mortalità;1.7%;2.9%;0.6;409;*;*;*;6
EOC Ente ospedaliero cantonale;A.3.12.M Catetere diagnostico dei vasi coronarici senza DP infarto miocardico senza OP al cuore (età >19), con rianimazione prima dell'ammissione, mortalità;47.8%;39.6%;1.2;23;70.0%;46.3%;1.5;10
EOC Ente ospedaliero cantonale;A.3.7.M Catetere diagnostico dei vasi coronarici senza DP infarto miocardico senza altre OP (età >19), mortalità;1.7%;1.4%;1.2;1'855;2.9%;1.8%;1.6;344
EOC Ente ospedaliero cantonale;A.3.5.M Catetere terapeutico dei vasi coronarici senza DP infarto miocardico senza OP al cuore (età >19), mortalità;0.6%;1.1%;0.5;3'292;0.6%;1.0%;0.6;783
EOC Ente ospedaliero cantonale;A.3.5.P Catetere terapeutico dei vasi coronarici senza DP infarto miocardico senza OP al cuore (età >19), percentuale;60.1%;47.3%;*;3'292;65.7%;52.8%;*;783
EOC Ente ospedaliero cantonale;A.3.13.M Catetere terapeutico dei vasi coronarici senza DP infarto miocardico o OP al cuore (età >19), trasferito da un altro ospedale, mortalità;1.2%;5.1%;0.2;168;*;*;*;6
EOC Ente ospedaliero cantonale;A.3.14.M Catetere terapeutico dei vasi coronarici senza DP infarto miocardico senza OP al cuore (età >19), con rianimazione prima dell'ammissione, mortalità;61.5%;43.2%;1.4;13;*;*;*;5
EOC Ente ospedaliero cantonale;A.3.8.M Catetere terapeutico dei vasi coronarici senza DP infarto miocardico senza altre OP (età >19), mortalità;0.4%;0.7%;0.6;3'163;0.4%;0.5%;0.7;757
EOC Ente ospedaliero cantonale;A.3.6.F Casi con cateterismo cardiaco su bambini e adolescenti (età <20);*;*;*;16;*;*;*;3
EOC Ente ospedaliero cantonale;A.4 Disturbi del ritmo cardiaco; ; ; ; ; ; ; ; 
EOC Ente ospedaliero cantonale;A.4.1.F DP disturbi del ritmo cardiaco;*;*;*;4'087;*;*;*;825
EOC Ente ospedaliero cantonale;A.5 Trattamento con pacemaker o defibrillatore impiantabile; ; ; ; ; ; ; ; 
EOC Ente ospedaliero cantonale;A.5.1.F Trattamento con pacemaker (impianto e sostituzione, incluso defibrillatore);*;*;*;2'262;*;*;*;360
EOC Ente ospedaliero cantonale;A.5.2.F Impianto e sostituzione di defibrillatore;*;*;*;444;*;*;*;79
EOC Ente ospedaliero cantonale;A.6 Terapia ablativa; ; ; ; ; ; ; ; 
EOC Ente ospedaliero cantonale;A.6.1.F Terapia ablativa supportata da catetere;*;*;*;912;*;*;*;254
EOC Ente ospedaliero cantonale;A.6.3.M Ablazione della fibrillazione atriale in caso di fibrillazione/flutter atriale, mortalità;0.0%;0.1%;0.0;415;0.0%;0.0%;0.0;137
EOC Ente ospedaliero cantonale;A.6.4.P Complicanze pericardiche dovute all'ablazione della fibrillazione atriale in caso di fibrillazione/flutter atriale, percentuale;*;*;*;1;0.0%;0.2%;*;0
EOC Ente ospedaliero cantonale;A.6.2.F Terapia ablativa chirurgica;*;*;*;37;*;*;*;3
EOC Ente ospedaliero cantonale;A.7 Interventi sul cuore; ; ; ; ; ; ; ; 
EOC Ente ospedaliero cantonale;A.7.1.F OP al cuore, totale;*;*;*;1'953;*;*;*;421
EOC Ente ospedaliero cantonale;A.7.2.F OP alle valvole cardiache;*;*;*;1'091;*;*;*;247
EOC Ente ospedaliero cantonale;A.7.3.F OP ai vasi coronarici;*;*;*;816;*;*;*;151
EOC Ente ospedaliero cantonale;A.7.4.F Altre OP al cuore;*;*;*;337;*;*;*;74
EOC Ente ospedaliero cantonale;A.7.5.F OP combinata al cuore;*;*;*;270;*;*;*;49
EOC Ente ospedaliero cantonale;A.7.6.F OP al cuore di bambini o adolescenti (età <20);*;*;*;5;*;*;*;1
EOC Ente ospedaliero cantonale;A.7.24.F Sostituzioni della valvola aortica a cuore aperto (età >19), totale;*;*;*;348;*;*;*;67
EOC Ente ospedaliero cantonale;A.7.7.M Sostituzione isolata della valvola aortica a cuore aperto senza altre OP al cuore (età >19), mortalità;3.8%;1.4%;2.6;183;0.0%;0.5%;0.0;36
EOC Ente ospedaliero cantonale;A.7.19.M Sostituzione isolata della valvola aortica a cuore aperto senza altre OP al cuore con DP endocardite (età >19), mortalità;*;*;*;6;*;*;*;3
EOC Ente ospedaliero cantonale;A.7.20.M Sostituzione isolata della valvola aortica a cuore aperto senza altre OP al cuore senza DP endocardite (età >19), mortalità;3.4%;1.3%;2.6;177;0.0%;0.5%;0.0;33
EOC Ente ospedaliero cantonale;A.7.25.M Sostituzione isolata della valvola aortica a cuore aperto senza sistemi di assistenza cardiaca senza altre OP al cuore (età >19), mortalità;2.2%;1.0%;2.1;180;0.0%;0.5%;0.0;36
EOC Ente ospedaliero cantonale;A.7.26.M Sostituzione della valvola aortica a cuore aperto con sostituzione della valvola mitrale (età >19), mortalità;18.2%;6.3%;2.9;11;*;*;*;3
EOC Ente ospedaliero cantonale;A.7.27.M Sostituzione della valvola aortica a cuore aperto con altre OP al cuore (età >19), mortalità;8.4%;4.8%;1.7;154;10.7%;5.8%;1.8;28
EOC Ente ospedaliero cantonale;A.7.8.M Impianto mini-invasivo di valvola aortica, mortalità;4.9%;1.9%;2.5;348;3.2%;1.5%;2.1;95
EOC Ente ospedaliero cantonale;A.7.9.M Impianto mini-invasivo di valvola aortica endovascolare, mortalità;4.6%;1.9%;2.4;303;3.2%;1.5%;2.2;93
EOC Ente ospedaliero cantonale;A.7.10.M Impianto mini-invasivo di valvola aortica transapicale, mortalità;6.7%;3.7%;1.8;45;*;*;*;2
EOC Ente ospedaliero cantonale;A.7.23.M Interventi endovascolari/transapicali sulla valvola mitrale, mortalità;3.9%;2.8%;1.4;102;7.1%;2.0%;3.6;28
EOC Ente ospedaliero cantonale;A.7.11.M OP solo ai vasi coronarici con DP infarto miocardico (età >19), mortalità;1.8%;2.9%;0.6;225;4.8%;3.4%;1.4;42
EOC Ente ospedaliero cantonale;A.7.28.M OP solo ai vasi coronarici con DP infarto miocardico senza sistemi di assistenza cardiaca (età >19), mortalità;0.5%;1.5%;0.3;215;0.0%;1.4%;0.0;37
EOC Ente ospedaliero cantonale;A.7.12.M OP solo ai vasi coronarici senza DP infarto miocardico (età >19), mortalità;1.2%;1.4%;0.9;408;0.0%;1.0%;0.0;73
EOC Ente ospedaliero cantonale;A.7.13.M OP solo ai vasi coronarici senza DP infarto miocardico, età 20-49, mortalità;0.0%;0.5%;0.0;12;*;*;*;0
EOC Ente ospedaliero cantonale;A.7.14.M OP solo ai vasi coronarici senza DP infarto miocardico, età 50-59, mortalità;0.0%;0.3%;0.0;67;0.0%;0.0%;*;16
EOC Ente ospedaliero cantonale;A.7.15.M OP solo ai vasi coronarici senza DP infarto miocardico, età 60-69, mortalità;0.0%;0.9%;0.0;121;0.0%;0.8%;0.0;22
EOC Ente ospedaliero cantonale;A.7.16.M OP solo ai vasi coronarici senza DP infarto miocardico, età 70-79, mortalità;1.8%;1.5%;1.2;171;0.0%;1.7%;0.0;31
EOC Ente ospedaliero cantonale;A.7.17.M OP solo ai vasi coronarici senza DP infarto miocardico, età >79, mortalità;5.4%;4.3%;1.3;37;*;*;*;4
EOC Ente ospedaliero cantonale;A.7.29.M OP ai vasi coronarici con altre OP al cuore (età >19), mortalità;8.2%;6.2%;1.3;183;11.1%;7.0%;1.6;36
EOC Ente ospedaliero cantonale;A.7.18.P Casi di ventilazione meccanica >24 h in caso di OP solo ai vasi coronarici senza DP infarto miocardico (età >19), percentuale;10.5%;7.3%;*;43;*;*;*;3
EOC Ente ospedaliero cantonale;A.7.21.P OP alla carotide in caso di sostituzione isolata della valvola aortica a cuore aperto senza altre OP al cuore (età >19), percentuale;0.0%;0.2%;*;0;0.0%;0.0%;*;0
EOC Ente ospedaliero cantonale;A.7.22.P OP alla carotide in caso di OP solo ai vasi coronarici senza DP infarto miocardico (età >19), percentuale;0.0%;0.8%;*;0;*;*;*;1
EOC Ente ospedaliero cantonale;B Malattie del sistema nervoso, colpo apoplettico (Stroke); ; ; ; ; ; ; ; 
EOC Ente ospedaliero cantonale;B.1 Colpo apoplettico; ; ; ; ; ; ; ; 
EOC Ente ospedaliero cantonale;B.1.1.M DP colpo apoplettico, tutte le forme (età >19), mortalità;12.5%;8.1%;1.6;3'361;13.7%;8.2%;1.7;709
EOC Ente ospedaliero cantonale;B.1.2.M DP colpo apoplettico, tutte le forme, età 20-44, mortalità;4.8%;2.6%;1.8;84;0.0%;1.2%;0.0;14
EOC Ente ospedaliero cantonale;B.1.3.M DP colpo apoplettico, tutte le forme, età 45-64, mortalità;5.7%;3.5%;1.6;596;7.0%;3.4%;2.1;129
EOC Ente ospedaliero cantonale;B.1.4.M DP colpo apoplettico, tutte le forme, età 65-84, mortalità;11.1%;7.1%;1.6;1'880;13.5%;7.1%;1.9;392
EOC Ente ospedaliero cantonale;B.1.5.M DP colpo apoplettico, tutte le forme, età >84, mortalità;21.8%;14.4%;1.5;801;20.1%;14.8%;1.4;174
EOC Ente ospedaliero cantonale;B.1.7.M Infarto cerebrale (ICD­10 I63, età >19), mortalità;7.8%;5.4%;1.4;2'751;7.3%;5.7%;1.3;558
EOC Ente ospedaliero cantonale;B.1.8.M Infarto cerebrale (ICD­10 I63, età >19), ammissioni dirette, mortalità;7.8%;5.3%;1.5;2'666;7.5%;5.5%;1.4;548
EOC Ente ospedaliero cantonale;B.1.13.M Infarto cerebrale (ICD­10 I63, età >19), trasferito da un altro ospedale, mortalità;9.4%;5.3%;1.8;85;0.0%;6.4%;0.0;10
EOC Ente ospedaliero cantonale;B.1.16.P Infarto cerebrale (ICD­10 I63, età >19) con riabilitazione precoce, ammissioni dirette, percentuale;1.0%;3.0%;*;27;2.4%;3.8%;*;13
EOC Ente ospedaliero cantonale;B.1.17.P Infarto cerebrale (ICD­10 I63, età >19) con riabilitazione precoce, trasferito da un altro ospedale, percentuale;0.0%;8.8%;*;0;*;*;*;1
EOC Ente ospedaliero cantonale;B.1.9.M Infarto cerebrale (ICD­10 I63, età >19) con trombolisi sistemica, mortalità;11.8%;7.5%;1.6;348;11.8%;5.6%;2.1;68
EOC Ente ospedaliero cantonale;B.1.9.P Infarto cerebrale (ICD­10 I63, età >19) con trombolisi sistemica, percentuale;12.6%;13.1%;*;348;12.2%;15.6%;*;68
EOC Ente ospedaliero cantonale;B.1.18.M Infarto cerebrale (ICD­10 I63, età >19) con trombectomia intracranica, mortalità;15.1%;11.5%;1.3;259;15.9%;12.1%;1.3;44
EOC Ente ospedaliero cantonale;B.1.18.P Infarto cerebrale (ICD­10 I63, età >19) con trombectomia intracranica, percentuale;9.4%;7.8%;*;259;7.9%;8.5%;*;44
EOC Ente ospedaliero cantonale;B.1.21.M Infarto cerebrale (ICD­10 I63, età 20-69) con trombectomia intracranica, mortalità;4.5%;6.1%;0.7;67;0.0%;6.8%;0.0;14
EOC Ente ospedaliero cantonale;B.1.22.M Infarto cerebrale (ICD­10 I63, età 70-79) con trombectomia intracranica, mortalità;6.1%;9.8%;0.6;82;0.0%;8.4%;0.0;10
EOC Ente ospedaliero cantonale;B.1.23.M Infarto cerebrale (ICD­10 I63, età 80-89) con trombectomia intracranica, mortalità;27.4%;15.6%;1.8;95;31.6%;17.9%;1.8;19
EOC Ente ospedaliero cantonale;B.1.24.M Infarto cerebrale (ICD­10 I63, età >89) con trombectomia intracranica, mortalità;33.3%;19.4%;1.7;15;*;*;*;1
EOC Ente ospedaliero cantonale;B.1.14.M Infarto cerebrale (ICD­10 I63, età >19) con polmonite, mortalità;27.3%;24.0%;1.1;260;26.2%;23.7%;1.1;42
EOC Ente ospedaliero cantonale;B.1.14.P Infarto cerebrale (ICD­10 I63, età >19) con polmonite, percentuale;9.5%;6.6%;*;260;7.5%;6.2%;*;42
EOC Ente ospedaliero cantonale;B.1.10.M Emorragia intracerebrale (ICD­10 I61, età >19), mortalità;34.7%;24.9%;1.4;475;36.4%;23.9%;1.5;118
EOC Ente ospedaliero cantonale;B.1.11.M Emorragia subaracnoidea (ICD­10 I60, età >19), mortalità;29.2%;15.5%;1.9;130;37.5%;15.6%;2.4;32
EOC Ente ospedaliero cantonale;B.1.12.M Colpo apoplettico non altrimenti specificato (ICD­10 I64, età >19), mortalità;*;*;*;5;*;*;*;1
EOC Ente ospedaliero cantonale;B.1.12.P Colpo apoplettico non altrimenti specificato (ICD­10 I64, età >19), percentuale;*;*;*;5;*;*;*;1
EOC Ente ospedaliero cantonale;B.1.25.M TIA, mortalità;0.2%;0.2%;1.6;826;0.0%;0.2%;0.0;165
EOC Ente ospedaliero cantonale;B.2 Trattamento in unità Ictus; ; ; ; ; ; ; ; 
EOC Ente ospedaliero cantonale;B.2.3.F Trattamento neurologico o altro trattamento complesso (Stroke Unit);*;*;*;2'683;*;*;*;622
EOC Ente ospedaliero cantonale;B.2.4.P Infarto cerebrale con trattamento neurologico o altro trattamento complesso, percentuale;66.6%;52.3%;*;1'833;66.7%;56.8%;*;372
EOC Ente ospedaliero cantonale;B.2.2.P TIA con trattamento neurologico o altro trattamento complesso, percentuale;55.0%;45.9%;*;454;53.9%;54.8%;*;89
EOC Ente ospedaliero cantonale;B.2.5.P DP infarto cerebrale o TIA (età >19) con trattamento neurologico o altro trattamento complesso, ammissioni dirette, percentuale;63.7%;50.7%;*;2'219;63.6%;56.0%;*;453
EOC Ente ospedaliero cantonale;B.2.6.P DP infarto cerebrale o TIA (età >19) con trattamento neurologico o altro trattamento complesso, trasferito da un altro ospedale, percentuale;74.7%;52.7%;*;68;*;*;*;8
EOC Ente ospedaliero cantonale;B.2.7.F Trattamento neurologico o altro trattamento complesso (Stroke Unit) in caso di altre diagnosi o età <20;*;*;*;386;*;*;*;155
EOC Ente ospedaliero cantonale;B.3 Tumori maligni del cervello o delle meningi; ; ; ; ; ; ; ; 
EOC Ente ospedaliero cantonale;B.3.1.F DP tumori maligni del cervello o delle meningi;*;*;*;434;*;*;*;88
EOC Ente ospedaliero cantonale;B.3.2.M OP al cervello in caso di tumori maligni, mortalità;3.0%;1.4%;2.2;99;9.1%;2.2%;4.1;22
EOC Ente ospedaliero cantonale;B.4 Epilessia; ; ; ; ; ; ; ; 
EOC Ente ospedaliero cantonale;B.4.1.F Cure ospedaliere in caso di DP epilessia (età >19);*;*;*;1'092;*;*;*;218
EOC Ente ospedaliero cantonale;B.4.2.F Cure ospedaliere in caso di DP epilessia (età <20);*;*;*;296;*;*;*;49
EOC Ente ospedaliero cantonale;B.5 Sclerosi mulitpla; ; ; ; ; ; ; ; 
EOC Ente ospedaliero cantonale;B.5.1.F Cure ospedaliere in caso di DP sclerosi multipla;*;*;*;112;*;*;*;31
EOC Ente ospedaliero cantonale;C Medicina geriatrica; ; ; ; ; ; ; ; 
EOC Ente ospedaliero cantonale;C.1 Riabilitazione geriatrica precoce; ; ; ; ; ; ; ; 
EOC Ente ospedaliero cantonale;C.1.1.F Riabilitazione geriatrica precoce;*;*;*;2'370;*;*;*;990
EOC Ente ospedaliero cantonale;C.1.2.P Riabilitazione geriatrica precoce con indice di Barthel, percentuale;87.8%;78.8%;*;2'080;90.5%;78.2%;*;896
EOC Ente ospedaliero cantonale;C.1.3.S Valore medio dell’indice di Barthel motorio all’ammissione;58.4;*;*;2'076;51.6;*;*;893
EOC Ente ospedaliero cantonale;C.1.7.P Riabilitazione geriatrica precoce con indice di Barthel ampliato, percentuale;*;*;*;8;*;*;*;3
EOC Ente ospedaliero cantonale;C.1.4.P Riabilitazione geriatrica precoce con FIM motorio, percentuale;*;*;*;5;0.0%;13.6%;*;0
EOC Ente ospedaliero cantonale;C.1.5.S Valore medio del FIM motorio all'ammissione;*;*;*;5;*;*;*;0
EOC Ente ospedaliero cantonale;C.1.8.P Riabilitazione geriatrica precoce con FIM cognitivo, percentuale;*;*;*;2;*;*;*;2
EOC Ente ospedaliero cantonale;C.1.9.P Riabilitazione geriatrica precoce con MMSE, percentuale;87.6%;73.7%;*;2'077;90.4%;75.7%;*;895
EOC Ente ospedaliero cantonale;C.1.6.P Pazienti operati con DS delirium, età >59, percentuale;2.2%;2.4%;*;897;2.1%;2.4%;*;183
EOC Ente ospedaliero cantonale;C.2 Malnutrizione negli anziani; ; ; ; ; ; ; ; 
EOC Ente ospedaliero cantonale;C.2.1.P Casi con grave malnutrizione/cachessia senza tumore, età >64, percentuale;2.2%;2.6%;*;2'111;2.2%;3.0%;*;443
EOC Ente ospedaliero cantonale;C.2.2.P Casi con terapia dietetica enterale/parenterale con grave malnutrizione/cachessia senza tumore, età >64, percentuale;12.6%;22.3%;*;267;10.2%;19.0%;*;45
EOC Ente ospedaliero cantonale;D Malattie polmonari; ; ; ; ; ; ; ; 
EOC Ente ospedaliero cantonale;D.1 Polmonite; ; ; ; ; ; ; ; 
EOC Ente ospedaliero cantonale;D.1.1.M DP polmonite, mortalità;8.7%;8.4%;1.0;8'765;6.4%;6.5%;1.0;1'617
EOC Ente ospedaliero cantonale;D.1.2.M DP polmonite, età <20, mortalità;0.0%;0.4%;0.0;271;0.0%;0.1%;0.0;86
EOC Ente ospedaliero cantonale;D.1.3.M DP polmonite, età 20-44, mortalità;0.8%;0.7%;1.2;361;0.0%;0.9%;0.0;52
EOC Ente ospedaliero cantonale;D.1.4.M DP polmonite, età 45-64, mortalità;3.1%;2.5%;1.3;1'498;5.3%;2.0%;2.7;187
EOC Ente ospedaliero cantonale;D.1.5.M DP polmonite, età 65-84, mortalità;8.9%;8.4%;1.1;4'450;5.0%;6.0%;0.8;778
EOC Ente ospedaliero cantonale;D.1.6.M DP polmonite, età >84, mortalità;14.7%;14.7%;1.0;2'185;10.7%;10.6%;1.0;514
EOC Ente ospedaliero cantonale;D.1.7.M DP polmonite senza tumore o mucoviscidosi, età 1-19, ammissioni dirette, mortalità;0.0%;0.2%;0.0;243;0.0%;0.0%;*;76
EOC Ente ospedaliero cantonale;D.1.8.M DP polmonite senza tumore o mucoviscidosi, età >19, ammissioni dirette, mortalità;6.8%;6.8%;1.0;6'461;5.1%;5.1%;1.0;1'222
EOC Ente ospedaliero cantonale;D.1.9.M DP polmonite senza tumore o mucoviscidosi, età 20-44, ammissioni dirette, mortalità;0.3%;0.2%;1.7;310;0.0%;0.4%;0.0;48
EOC Ente ospedaliero cantonale;D.1.10.M DP polmonite senza tumore o mucoviscidosi, età 45-64, ammissioni dirette, mortalità;1.8%;1.2%;1.5;1'172;2.6%;0.9%;3.1;153
EOC Ente ospedaliero cantonale;D.1.11.M DP polmonite senza tumore o mucoviscidosi, età 65-84, ammissioni dirette, mortalità;6.5%;6.4%;1.0;3'332;3.3%;3.8%;0.9;602
EOC Ente ospedaliero cantonale;D.1.12.M DP polmonite senza tumore o mucoviscidosi, età >84, ammissioni dirette, mortalità;12.3%;13.1%;0.9;1'647;9.1%;9.1%;1.0;419
EOC Ente ospedaliero cantonale;D.1.15.M DP polmonite senza tumore, mucoviscidosi o COVID-19 (età >19), ammissioni dirette, mortalità;4.3%;4.6%;0.9;4'256;3.8%;4.4%;0.9;1'017
EOC Ente ospedaliero cantonale;D.1.13.M DP polmonite da aspirazione, mortalità;19.3%;19.6%;1.0;732;15.6%;20.8%;0.8;147
EOC Ente ospedaliero cantonale;D.1.14.M DP bronchite/bronchiolite senza tumore o mucoviscidosi (età >19), ammissioni dirette, mortalità;0.0%;0.8%;0.0;169;4.2%;0.4%;9.6;48
EOC Ente ospedaliero cantonale;D.1.16.M Polmonite nosocomiale senza tumore o mucoviscidosi (età >19), ammissioni dirette, mortalità;18.7%;18.2%;1.0;514;18.1%;16.0%;1.1;281
EOC Ente ospedaliero cantonale;D.1.17.M Ventilazione meccanica >24h in caso di polmonite nosocomiale, senza tumore o mucoviscidosi (età >19), ammissioni dirette, mortalità;27.4%;29.2%;0.9;223;24.1%;27.7%;0.9;83
EOC Ente ospedaliero cantonale;D.1.17.P Ventilazione meccanica >24h in caso di polmonite nosocomiale, senza tumore o mucoviscidosi (età >19), ammissioni dirette, percentuale;43.4%;26.6%;*;223;29.5%;22.7%;*;83
EOC Ente ospedaliero cantonale;D.2 Bronco pneumopatia cronica ostruttiva (BPCO); ; ; ; ; ; ; ; 
EOC Ente ospedaliero cantonale;D.2.1.M BPCO senza tumore (età >19), mortalità;3.8%;4.4%;0.9;2'339;5.3%;5.1%;1.0;495
EOC Ente ospedaliero cantonale;D.2.2.M BPCO senza tumore con VEMS1 <35 % (età >19), mortalità;6.0%;7.1%;0.8;700;9.2%;9.8%;0.9;152
EOC Ente ospedaliero cantonale;D.2.3.M BPCO senza tumore con VEMS1 35-49 % (età >19), mortalità;3.0%;3.9%;0.8;668;3.4%;4.2%;0.8;146
EOC Ente ospedaliero cantonale;D.2.4.M BPCO senza tumore con VEMS1 50-69 % (età >19), mortalità;1.8%;2.2%;0.8;453;1.9%;2.9%;0.7;106
EOC Ente ospedaliero cantonale;D.2.5.M BPCO senza tumore con VEMS1 >69 % (età >19), mortalità;3.8%;2.9%;1.3;78;7.7%;3.3%;2.3;13
EOC Ente ospedaliero cantonale;D.2.6.M BPCO senza tumore con VEMS1 NAS (età >19), mortalità;3.4%;4.4%;0.8;440;5.1%;5.0%;1.0;78
EOC Ente ospedaliero cantonale;D.2.6.P BPCO senza tumore con VEMS1 NAS (età >19), percentuale;18.8%;20.6%;*;440;15.8%;23.1%;*;78
EOC Ente ospedaliero cantonale;D.3 Cancro polmonare (carcinoma bronchiale); ; ; ; ; ; ; ; 
EOC Ente ospedaliero cantonale;D.3.1.F Cure ospedaliere in caso di DP cancro polmonare;*;*;*;1'780;*;*;*;387
EOC Ente ospedaliero cantonale;D.4 Interventi sul polmone; ; ; ; ; ; ; ; 
EOC Ente ospedaliero cantonale;D.4.1.M Resezioni di polmone o bronchi, totale, mortalità;1.1%;1.7%;0.6;749;0.0%;1.5%;0.0;169
EOC Ente ospedaliero cantonale;D.4.2.M Pneumonectomia in caso di carcinoma bronchiale, mortalità;*;*;*;5;*;*;*;2
EOC Ente ospedaliero cantonale;D.4.2.P Pneumonectomia in caso di carcinoma bronchiale, percentuale;*;*;*;5;*;*;*;2
EOC Ente ospedaliero cantonale;D.4.3.M Resezione parziale del polmone in caso di carcinoma bronchiale, mortalità;1.2%;1.5%;0.7;433;0.0%;1.4%;0.0;88
EOC Ente ospedaliero cantonale;D.4.4.P OP bronchioangioplastica in caso di carcinoma bronchiale, percentuale;5.5%;6.3%;*;24;0.0%;5.5%;*;0
EOC Ente ospedaliero cantonale;D.4.5.M Pleurectomia, mortalità;3.4%;5.1%;0.7;145;6.7%;5.0%;1.3;30
EOC Ente ospedaliero cantonale;E Malattie dei organi addominali; ; ; ; ; ; ; ; 
EOC Ente ospedaliero cantonale;E.1 Asportazione della cistifellea (colecistectomia); ; ; ; ; ; ; ; 
EOC Ente ospedaliero cantonale;E.1.1.M Colecistectomia in caso di calcoli biliari e colecistite, senza tumore, mortalità;0.4%;0.2%;2.1;2'251;0.2%;0.2%;1.0;552
EOC Ente ospedaliero cantonale;E.1.2.P OP laparoscopica per colecistectomia in caso di calcoli biliari e colecistite, senza tumore, percentuale;98.7%;97.2%;*;2'222;99.5%;98.1%;*;549
EOC Ente ospedaliero cantonale;E.2 Operazioni di ernia; ; ; ; ; ; ; ; 
EOC Ente ospedaliero cantonale;E.2.1.M Erniotomia senza OP all'intestino, mortalità;0.0%;0.1%;0.4;2'200;0.4%;0.1%;4.5;521
EOC Ente ospedaliero cantonale;E.2.2.M Erniotomia con OP all'intestino, mortalità;3.0%;5.1%;0.6;67;*;*;*;9
EOC Ente ospedaliero cantonale;E.2.3.P OP di alloplastica per ernia inguinale, età 0-19, percentuale;*;*;*;2;0.0%;14.3%;*;0
EOC Ente ospedaliero cantonale;E.2.4.P OP di alloplastica per ernia inguinale, età >19, percentuale;98.5%;98.4%;*;1'364;99.0%;98.8%;*;297
EOC Ente ospedaliero cantonale;E.3 Interventi sulla tiroide; ; ; ; ; ; ; ; 
EOC Ente ospedaliero cantonale;E.3.1.F Resezione della tiroide;*;*;*;428;*;*;*;92
EOC Ente ospedaliero cantonale;E.3.2.P Casi totali di ventilazione meccanica >24 h in caso di resezione della tiroide, percentuale;*;*;*;4;0.0%;0.4%;*;0
EOC Ente ospedaliero cantonale;E.3.4.F Resezione della tiroide per tumori maligni della tiroide;*;*;*;173;*;*;*;49
EOC Ente ospedaliero cantonale;E.3.5.F Resezione della tiroide per malattie benigne della tiroide;*;*;*;225;*;*;*;39
EOC Ente ospedaliero cantonale;E.3.3.F Radioiodioterapia;*;*;*;299;*;*;*;53
EOC Ente ospedaliero cantonale;E.4 Malattie del colon e del retto; ; ; ; ; ; ; ; 
EOC Ente ospedaliero cantonale;E.4.11.F Cure ospedaliere per DP carcinoma colorettale;*;*;*;1'149;*;*;*;242
EOC Ente ospedaliero cantonale;E.4.12.F Cure ospedaliere per colite ulcerosa o morbo di Crohn (DP o DS);*;*;*;766;*;*;*;170
EOC Ente ospedaliero cantonale;E.4.1.M Resezioni colorettali, totale, mortalità;5.6%;4.9%;1.2;1'349;3.3%;4.0%;0.8;273
EOC Ente ospedaliero cantonale;E.4.2.M Resezioni del colon per carcinoma colorettale senza diagnosi complicante, mortalità;3.3%;2.9%;1.1;399;1.4%;1.6%;0.9;73
EOC Ente ospedaliero cantonale;E.4.3.M Resezioni del colon per carcinoma colorettale con diagnosi complicante, mortalità;13.0%;7.9%;1.6;54;0.0%;9.9%;0.0;10
EOC Ente ospedaliero cantonale;E.4.4.M Resezioni del retto per carcinoma colorettale, mortalità;1.7%;2.3%;0.7;118;0.0%;0.3%;0.0;22
EOC Ente ospedaliero cantonale;E.4.5.M Resezioni colorettali per diverticolo senza ascesso/perforazione, mortalità;0.5%;0.3%;1.7;197;0.0%;0.1%;0.0;51
EOC Ente ospedaliero cantonale;E.4.6.M Resezioni colorettali per diverticolo con ascesso/perforazione, mortalità;3.4%;3.4%;1.0;145;0.0%;3.6%;0.0;35
EOC Ente ospedaliero cantonale;E.4.7.M Resezione colorettale per ischemia intestinale, mortalità;40.3%;34.5%;1.2;72;41.7%;31.4%;1.3;12
EOC Ente ospedaliero cantonale;E.4.13.M Resezione colorettale per colite ulcerosa o morbo di Crohn, mortalità;3.3%;1.1%;3.1;30;0.0%;1.5%;0.0;11
EOC Ente ospedaliero cantonale;E.4.8.M Resezioni colorettali per altra diagnosi, mortalità;5.5%;6.4%;0.9;327;5.2%;5.2%;1.0;58
EOC Ente ospedaliero cantonale;E.4.14.P Resezione/distruzione del fegato con resezione colorettale in caso di carcinoma colorettale, percentuale;*;*;*;4;*;*;*;1
EOC Ente ospedaliero cantonale;E.4.15.M Resezione colorettale (E.4.2.F, E.4.3.F, E.4.4.F, E.4.5.F, E.4.6.F, E.4.13.F) senza resezione bassa del retto con deiscenza anastomotica, mortalità;10.3%;11.1%;0.9;58;0.0%;9.6%;0.0;15
EOC Ente ospedaliero cantonale;E.4.15.P Resezione colorettale (E.4.2.F, E.4.3.F, E.4.4.F, E.4.5.F, E.4.6.F, E.4.13.F) senza resezione bassa del retto con deiscenza anastomotica, percentuale;6.8%;5.5%;*;58;8.2%;5.5%;*;15
EOC Ente ospedaliero cantonale;E.4.16.M Resezione anteriore bassa del retto con deiscenza anastomotica, mortalità;*;*;*;7;*;*;*;2
